"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","BALANCE SHEET","DIOD","OtherCurrentBorrowings",17381000,"USD","2021-12-31 00:00:00","12M",0.009628498716458688,"2021-12-31_2020-12-31",-0.20489478499542543
"MO","BALANCE SHEET","DIOD","OtherCurrentBorrowings",1693000,"USD","2022-12-31 00:00:00","12M",0.0008462545861700107,"2022-12-31_2021-12-31",-0.9025947874115413
"MO","BALANCE SHEET","DIOD","OtherCurrentBorrowings",4419000,"USD","2023-12-31 00:00:00","12M",0.002659262375138334,"2023-12-31_2022-12-31",1.6101594802126402
"MO","BALANCE SHEET","DIOD","OtherCurrentLiabilities",530000,"USD","2020-12-31 00:00:00","12M",0.0004311694862168132,"",""
"MO","BALANCE SHEET","DIOD","OtherCurrentLiabilities",3711000,"USD","2021-12-31 00:00:00","12M",0.002055771171784028,"2021-12-31_2020-12-31",6.00188679245283
"MO","BALANCE SHEET","DIOD","OtherCurrentLiabilities",3350000,"USD","2022-12-31 00:00:00","12M",0.0016745143908266603,"2022-12-31_2021-12-31",-0.09727836162759364
"MO","BALANCE SHEET","DIOD","OtherCurrentLiabilities",137000,"USD","2023-12-31 00:00:00","12M",0.00008244375320071324,"2023-12-31_2022-12-31",-0.9591044776119403
"MO","BALANCE SHEET","MSFT","OtherCurrentLiabilities",11666000000,"USD","2021-06-30 00:00:00","12M",0.06940412165056399,"",""
"MO","BALANCE SHEET","MSFT","OtherCurrentLiabilities",13067000000,"USD","2022-06-30 00:00:00","12M",0.06590507893276845,"2022-06-30_2021-06-30",0.12009257671866964
"MO","BALANCE SHEET","MSFT","OtherCurrentLiabilities",14745000000,"USD","2023-06-30 00:00:00","12M",0.06957978434749781,"2023-06-30_2022-06-30",0.12841509145174868
"MO","BALANCE SHEET","MSFT","OtherCurrentLiabilities",19185000000,"USD","2024-06-30 00:00:00","12M",0.07826714860355252,"2024-06-30_2023-06-30",0.301119023397762
"MO","BALANCE SHEET","DIOD","OtherEquityAdjustments",-73606000,"USD","2020-12-31 00:00:00","12M",-0.059880492834858016,"",""
"MO","BALANCE SHEET","DIOD","OtherEquityAdjustments",-50517000,"USD","2021-12-31 00:00:00","12M",-0.02798474596739794,"2021-12-31_2020-12-31",-0.3136836670923566
"MO","BALANCE SHEET","DIOD","OtherEquityAdjustments",-128233000,"USD","2022-12-31 00:00:00","12M",-0.06409791160563437,"2022-12-31_2021-12-31",1.5384128115287923
"MO","BALANCE SHEET","DIOD","OtherEquityAdjustments",-143227000,"USD","2023-12-31 00:00:00","12M",-0.08619103240641281,"2023-12-31_2022-12-31",0.11692777990064959
