maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,fiveYearAvgDividendYield,yield,ytdReturn,totalAssets
1,4,4.56,4.55,4.54,4.73,4.56,4.55,4.54,4.73,0.06,0.0139,2024-09-27 02:00:00,0.3969,0.923,31.066664,13.705882,88068.0,88068.0,419893,364110,364110,4.56,4.64,40000.0,396000.0,21447835648.0,0.505,6.625,0.0086360555,4.6118,5.190725,40.0,8.77193,USD,,,,,,False,NJDCY,0.85,,,
1,2,4790.0,5211.0,5211.0,5211.0,4790.0,5211.0,5211.0,5211.0,75.24,0.018099999,2024-03-25 01:00:00,0.6102,0.487,42.825443,40.134014,3.0,3.0,23,50,50,4037.7,4438.8,1200.0,800.0,49051611136.0,3872.26,5335.0,6.892175,4537.8423,4687.1104,68.0,0.014196242,USD,,,,,,False,GVDBF,1.83,,,
1,2,65.9,64.502,64.27,66.36,65.9,64.502,64.27,66.36,1.08,0.0164,2024-11-29 01:00:00,0.26700002,1.337,16.554157,12.590039,3924568.0,3924568.0,4744906,5616640,5616640,65.64,69.66,1300.0,100.0,31479879680.0,40.16,71.52,3.066421,62.8636,57.8751,1.06,0.016084976,USD,,,,,,False,EBAY,1.64,,,
1,2,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,0.73,0.0315,2025-03-28 01:00:00,0.35580003,0.006,21.904762,,24.0,24.0,0,0,0,17.46,22.7,40000.0,40000.0,2873551104.0,20.516,23.0,0.0091799125,23.0,22.63549,56.0,2.520252,USD,,,,,,False,CBCFF,,,,
1,2,22.7,22.52,22.48,22.78,22.7,22.52,22.48,22.78,0.5,0.0219,2024-10-29 01:00:00,0.71550006,0.626,29.467533,26.694117,11561749.0,11561749.0,7292383,4890390,4890390,0.0,22.63,3200.0,1200.0,94283300864.0,16.04,23.63,5.005484,22.3234,20.58515,0.49,0.021585902,USD,,,,,,False,INFY,2.2,,,
1,2,262.23,262.11,261.31,270.49,262.23,262.11,261.31,270.49,9.52,0.0352,2025-02-14 01:00:00,1.1341001,0.599,34.46301,13.071602,3271314.0,3271314.0,3445898,2712250,2712250,254.24,282.07,100.0,100.0,145236033536.0,253.3,346.85,4.464131,283.128,304.2569,8.88,0.033863403,USD,,,,,,False,AMGN,2.98,,,
1,2,36.83,35.99,35.99,35.99,36.83,35.99,35.99,35.99,0.93,0.0253,2024-12-27 01:00:00,0.8521,0.113,33.01835,,621.0,621.0,10,0,0,35.98,37.13,20000.0,20000.0,16901516288.0,33.4,44.84,0.010585234,39.0378,39.7133,151.0,4.0999184,EUR,,,,,,False,KAO.F,2.38,,,
1,2,92.44,91.39,91.39,91.39,92.44,91.39,91.39,91.39,2.84,0.0307,2024-08-21 02:00:00,0.8086,0.911,27.03846,,29.0,29.0,142,51,51,91.44,92.08,30000.0,30000.0,152810471424.0,66.77,99.44,5.8505483,94.0942,82.9713,4.65,0.0503029,EUR,,,,,,False,CWW.F,3.99,,,
1,2,25.28,25.46,25.46,25.46,25.28,25.46,25.46,25.46,0.56,0.0223,2024-09-27 02:00:00,0.6001,0.73,27.97802,,1500.0,1500.0,482,103,103,25.46,25.79,10000.0,10000.0,23917860864.0,23.26,28.49,0.030486437,25.0386,25.44205,88.39,3.4964397,EUR,,,,,,False,FUC.F,1.87,,,
1,2,28.51,28.65,28.48,29.02,28.51,28.65,28.48,29.02,1.6,0.0556,2024-11-29 01:00:00,1.4414,0.475,25.927929,9.374594,14938395.0,14938395.0,9759141,8159280,8159280,28.77,28.8,1900.0,2300.0,34799915008.0,28.48,38.96,1.3317993,31.481,34.1681,1.6,0.05612066,USD,,,,,,False,KHC,4.55,,,
