"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod"
"MO","INCOME STATEMENT","DIOD","EBITDA",240010000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBITDA",445021000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBITDA",532019000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBITDA",420963000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBITDA",217504000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","EBITDA",85134000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBITDA",100239000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBITDA",105140000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBITDA",133009000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBITDA",139513000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfPPE",-106000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfPPE",-246000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfPPE",3651000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfPPE",2045000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfPPE",7570000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfSecurity",-7731000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfSecurity",25911000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfSecurity",-14392000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfSecurity",13003000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GainOnSaleOfSecurity",-2005000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","GainOnSaleOfSecurity",1316000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GainOnSaleOfSecurity",435000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GainOnSaleOfSecurity",15000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GainOnSaleOfSecurity",-343000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GainOnSaleOfSecurity",74000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","GeneralAndAdministrativeExpense",5107000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GeneralAndAdministrativeExpense",5900000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GeneralAndAdministrativeExpense",7575000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GeneralAndAdministrativeExpense",7609000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GeneralAndAdministrativeExpense",7808000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","GrossProfit",431121000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GrossProfit",670360000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GrossProfit",827237000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GrossProfit",658182000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","GrossProfit",437454000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","GrossProfit",115856000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GrossProfit",135620000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GrossProfit",146052000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GrossProfit",171008000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","GrossProfit",176279000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","InterestExpense",11662000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpense",7491000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpense",8320000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpense",5700000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpense",2321000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","InterestExpense",2346000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpense",2063000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpense",1968000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpense",2935000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpense",2992000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","InterestExpenseNonOperating",11662000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpenseNonOperating",7491000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpenseNonOperating",8320000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpenseNonOperating",5700000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestExpenseNonOperating",2321000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","InterestExpenseNonOperating",2346000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpenseNonOperating",2063000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpenseNonOperating",1968000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpenseNonOperating",2935000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestExpenseNonOperating",2992000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","InterestIncome",1066000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncome",3139000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncome",3672000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncome",13338000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncome",18218000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","InterestIncome",2131000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncome",2094000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncome",2994000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncome",3157000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncome",2672000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","InterestIncomeNonOperating",1066000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncomeNonOperating",3139000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncomeNonOperating",3672000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncomeNonOperating",13338000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","InterestIncomeNonOperating",18218000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","InterestIncomeNonOperating",2131000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncomeNonOperating",2094000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncomeNonOperating",2994000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","InterestIncomeNonOperating",3157000000,"USD","2024-06-30 00:00:00","12M"
